Photo,Buyer's Code,Description,Article Nr.,REMARK,CUSHION,GLASS / MIRROR,UOM,W,D,H,SW,SH,SD,AH,Weight Capacity (Kg/Lt),MATERIALS,FINISHING COLOR OF ITEM,WEAVING COMPOSITION,USD SELLING PRICE,PACKING DIMENTION (CM),NW (KG),GW (KG),CBM,ACCESSORIES,PICTURE OF ACCESSORIES,LEATHER,PICTURE OF LEATHER,FINISHING STEPS,FINISHING COLOR OF ITEM,HARGA SUPPLIER / BASKETS
,,JEFI DECO,2535072,,,,CM,49,2.5,55,,,,,,Rattan slimit grey,Natural Grey,,15,52x58x5 cm,2.00,0.70,0.02,,,,,,,
,,HOT AIR BALLON HANGING DECO LAMP - A,2534018,WITHOUT ELECTRICITY,,,CM,33,33,56,,,,,1 kg,"Iron frame , Rattan slimit grey",Natural Grey,,29,36x36x50 cm,1.15,1.65,0.06,,,,,,,
,,RATTAN CLOUD DECO,2535073,,,,CM,46,1,34/48,,,,,,"Iron frame, Rattan slimit grey",Natural Grey,,15,49x4x37 cm,0.30,0.50,0.01,,,,,,,
,,STRAWBERRY BASKET-B,2533060,,,,CM,25.5,25.5,27,,,,,5 Kg,Rattan slimit grey,Natural Grey,,16,28x28x30 cm,0.35,1.00,0.02,,,,,,,
,,CLOUD HANGING LAMP,2534019,,,,CM,33,20,25,,,,,,"Iron frame, rattan slimit grey",Natural Grey,,25,36x23x28 cm,0.75,1.50,0.02,,,,,,,
,,MOON HANGING LAMP,2534020,,,,CM,29,14,32,,,,,,"Iron frame, rattan slimit grey",Natural Grey,,19,32x17x35 cm,0.50,1.00,0.02,,,,,,,
,,OCTO HANGING LAMP,2534021,,,,CM,36,36,68,,,,,,"Iron frame , rattan slimit grey",Natural grey,,29,39x39x71 cm,1.33,2.50,0.11,,,,,,,
,,WINE HOLDER,2495054,,,,CM,30,17.5,36.5,,,,,6 Kg,"Rattan core, Plywood, Rattan slimit grey",Natural Grey,,19.5,33x20x39 cm,0.50,1.00,0.03,,,,,,,
,,HOME BASKET,2533061,,,,CM,23,17.5,29.5,,,,,3 Kg,Rattan slimit grey,Natural Grey,,14,26x20x25 cm,0.31,0.80,0.01,,,,,,,
,,ROMA CABINET,2532022,,,,CM,75,36,162,,,,,45 Kg,"Mahogany wood frame, rattan kubu grey",Natural grey,,145,78x39x165 cm,17.80,20.10,0.50,,,,,,,
,,MINI AIRPLANE,2495013,,,,CM,42,39,21,,,,,,Rattan Slimit Grey,Grey Natural,,18,45x41x23 cm,0.25,1.00,0.04,,,,,,,
,,ICE LOUNGE CHAIR,2531006,,YES,,CM,67,72,92,,,,,100 Kg,"Metal Powder coating , PE all weather wicker/synthetic",White Shell,,189,70x75x95 cm,11.40,12.40,0.50,,,,,,,
,,ICE CHAIR,2431033,,YES,,CM,54,66,92,,,,,100 Kg,"Metal Powder coating , PE all weather wicker/synthetic",White Shell,,95,57x69x95 cm,8.10,9.10,0.37,,,,,,,
,,ELEGANT CHAIR-KIDS,23911001,,"Yes 
Removable and Washable

Seat Cushion:
37x40x6 cm
Foam: 5 cm D22
Fabric: CP7x7 cream",,CM,44.5,51.5,61.5,,,,,50 Kg,"Rattan Polish, Rattan slimit grey",Grey Natural,,55,47x54x64 cm,3.70,4.70,0.16,,,,,,,
,,TOGENI SIDE TABLE-KIDS,23911003-ST,,,NO,CM,43,43,47.5,,,,,100 Kg,Rattan 1/2 polesh - Kuboo grey - plywood,Natural Grey,,39,46x46x51 cm,3.27,4.30,0.11,,,,,,,
,,MINI SLEDGE BASKET,2533062,,,,CM,18.5,37,19.5,,,,,5 Kg,"Iron frame, Rattan slimit grey",Natural Grey,,14,21x40x22 cm,0.40,1.00,0.02,,,,,,,
,,HOSHI BASKET,2533063,,,,CM,23.5,19.5,29,,,,,5 Kg,Rattan slimit grey,Natural grey,,14,26x22x31 cm,0.31,0.80,0.02,,,,,,,
,,CRABBY DECO,2535084,,,,CM,24,5,15.5,,,,,,"Iron frame , Rattan slimit grey",Natural Grey,,17,"27x8x18,5 cm",0.10,0.80,0.00,,,,,,,
,,MOBI STORAGE,2533064,,,,CM,19,32.5,16.0,,,,,5 Kg,Rattan slimit grey,Natural Grey,,19,"22x35,5x18,5 cm",0.3,0.8,0.0,,,,,,,
,,RATTAN PLAY TENT,2535085,,,,CM,101,101,8.5,,,,,,"Rattan polish , Rattan Slimit grey",Natural Grey,,114,104x104x12 cm,7.50,8.50,0.13,,,,,,,
,,RATTAN BALLON SET OF 2,2535086,S: 27x14x37 cm,,,CM,30,15,41,,,,,,"Iron frame, Rattan slimit grey",Natural Grey,,28,33x21x44 cm,0.77,1.50,0.03,,,,,,,
,,HOT AIR BALLON SET 2,2535087,"S: 22x1,5x41 cm",,,CM,26.50,1.50,48.50,,,,,,Rattan slimit grey,Natural Grey,,19,29x5x51 cm,0.20,0.90,0.01,,,,,,,
,,MELODY BAG,2535035,,,,CM,40,15.5,24/38,,,,,5 Kg,"Braided mendong, seagrass, joote",Natural,,14,43x18x27 cm,0.29,0.60,0.02,,,,,,,
,,MOLINI BASKET,2533068,,,,CM,68,50,48,,,,,9 Kg,"Rattan slimit grey, rattan core",Natural Grey,,59,71x53x51 cm,2.80,3.80,0.19,,,,,,,
,,BOBO STORAGE - OD,2533010,,,,CM,43.5,42,51,,,,,9 Kg,"Rattan slimit grey, rattan core",Natural Grey,,44,46x45x54 cm,1.90,2.60,0.11,,,,,,,
,,SET TEA POT,2535088,"Tea Pot: 37x21,5x24 cm
Cup 14x10x10 cm
Saucer 10x10x2 cm
Tea Spoon 16x4,5x2 cm",,,CM,24,21.5,37,,,,,2 Kg,Rattan slimit Grey,Natural Grey,,20,27x24x41 cm,0.55,1.50,0.03,,,,,,,
,,BUNNY BASKET,2533067,,,,CM,21,21,29,,,,,4 Kg,Rattan slimit grey,Natural,,14,24x24x32 cm,0.25,0.90,0.02,,,,,,,
,,RATTAN SCALLOP CART,2533065,,,,CM,33,43,65,,,,,5 Kg,"Teak wood, plywood, iron, rattan slimit",Natural Grey,,54,36x46x68 cm,3.28,3.80,0.11,,,,,,,
,,CILY LANTERN SET 2,2494007,"S: 42x42x44/61 cm
L: 45x45x46/67 cm

Glass:
8,5x8,5x9 cm",,"8,5x8,5x9 cm",CM,45,45,46/67,,,,,,"Iron frame, Rattan slimit, glass",Natural  ,,56,90x49x48 cm,3.34,5.34,0.21,,,,,,,
,,RUMY DINING CHAIR,2531038,OUTDOOR,"REMOVABLE

47x51x5 cm
Cushion fabric Olefin/Regency

Foam 5 cm polyester",,CM,60,67,89,,,,,150 Kg,"Teak wood, synthetic wicker",Grey,,145,67x74x96 cm,12.41,16.41,0.48,,,,,,,
,,RENDA BASKET,2533066,,,,CM,20,20,28,,,,,3 Kg,"Iron frame, Rattan slimit grey",Natural Grey,,17,23x23x31 cm,0.50,1.50,0.02,,,,,,,
,,ZEE KIDS CHAIR,2531039,,,,CM,30.5,32,58,,,,,50 Kg,"Rattan polesh, rattan slimit grey",Natural Grey,,29,33x35x61 cm,1.49,2.50,0.07,,,,,,,
,,ICE ROCKING CHAIR,2531007,,"Yes
Removable

Dacroon-Olefin
64x59x14 cm",,CM,67,98,91,,,,,100 Kg,Iron frame-Synthetic-Rubber,White Shell,,205,70x101x94 cm,16.20,17.20,0.66,,,,,,,
,,MINI CASTLE - B,2495007,,,,CM,52,37,44.5,,,,,3 Kg,"Iron frame, Rattan slimit grey",Natural Grey,,32,"55x40x47,5 cm",2.10,3.00,0.10,,,,,,,

